fiscal_year,Firms,Total,Deployment,Intent,Boilerplate,Governance,Deploy. share
2018,74,2.53,1.15,0.31,0.46,0.0,42.3
2019,107,3.93,1.95,0.34,0.79,0.05,41.9
2020,134,4.17,2.01,0.29,0.85,0.11,42.8
2021,152,4.02,1.92,0.36,0.8,0.16,44.4
2022,174,3.97,1.7,0.36,0.91,0.25,38.9
2023,190,5.84,1.66,0.36,2.61,0.54,28.0
2024,192,7.19,1.82,0.4,3.3,0.88,27.5
2025,191,8.24,1.94,0.42,3.94,1.03,26.5
