cik,fiscal_year,n_ai,n_deployment,n_intent,n_boilerplate,n_governance,share_deployment,share_intent,share_boilerplate
21344,2019,1,0,1,0,0,0.0,1.0,0.0
21344,2020,1,0,1,0,0,0.0,1.0,0.0
21344,2021,1,0,1,0,0,0.0,1.0,0.0
21344,2022,1,0,1,0,0,0.0,1.0,0.0
21344,2023,4,0,1,2,1,0.0,0.25,0.5
21344,2024,5,0,1,3,1,0.0,0.2,0.6
21344,2025,7,0,1,5,0,0.0,0.14285714285714285,0.7142857142857143
21665,2023,6,0,1,5,0,0.0,0.16666666666666666,0.8333333333333334
21665,2024,9,0,2,6,1,0.0,0.2222222222222222,0.6666666666666666
21665,2025,3,0,1,1,0,0.0,0.3333333333333333,0.3333333333333333
24545,2023,4,0,0,4,0,0.0,0.0,1.0
24545,2024,6,0,0,5,1,0.0,0.0,0.8333333333333334
24545,2025,6,0,0,5,1,0.0,0.0,0.8333333333333334
24741,2023,1,0,0,0,0,0.0,0.0,0.0
24741,2024,4,0,0,2,0,0.0,0.0,0.5
24741,2025,6,0,0,4,0,0.0,0.0,0.6666666666666666
26172,2024,6,0,0,6,0,0.0,0.0,1.0
26172,2025,4,0,0,4,0,0.0,0.0,1.0
27419,2023,5,0,0,3,0,0.0,0.0,0.6
27419,2024,8,2,0,4,0,0.25,0.0,0.5
27419,2025,10,2,1,7,0,0.2,0.1,0.7
27904,2025,1,1,0,0,0,1.0,0.0,0.0
29534,2024,10,0,0,8,2,0.0,0.0,0.8
29534,2025,13,0,0,12,1,0.0,0.0,0.9230769230769231
29905,2018,1,1,0,0,0,1.0,0.0,0.0
29905,2020,3,2,0,0,0,0.6666666666666666,0.0,0.0
29905,2021,3,2,0,0,0,0.6666666666666666,0.0,0.0
29905,2022,2,2,0,0,0,1.0,0.0,0.0
29905,2023,4,4,0,0,0,1.0,0.0,0.0
29905,2024,6,3,0,2,0,0.5,0.0,0.3333333333333333
29905,2025,9,3,1,4,0,0.3333333333333333,0.1111111111111111,0.4444444444444444
29989,2023,2,0,0,1,1,0.0,0.0,0.5
29989,2024,2,0,0,1,1,0.0,0.0,0.5
29989,2025,3,0,0,3,0,0.0,0.0,1.0
31462,2020,3,0,0,0,0,0.0,0.0,0.0
31462,2021,3,0,0,0,0,0.0,0.0,0.0
31462,2022,3,0,0,0,0,0.0,0.0,0.0
31462,2023,1,0,0,1,0,0.0,0.0,1.0
31462,2024,4,0,0,4,0,0.0,0.0,1.0
31462,2025,3,0,0,3,0,0.0,0.0,1.0
31791,2025,2,2,0,0,0,1.0,0.0,0.0
32604,2022,1,0,0,0,0,0.0,0.0,0.0
32604,2024,6,0,0,6,0,0.0,0.0,1.0
32604,2025,9,1,0,8,0,0.1111111111111111,0.0,0.8888888888888888
33185,2018,3,3,0,0,0,1.0,0.0,0.0
33185,2019,6,4,0,2,0,0.6666666666666666,0.0,0.3333333333333333
33185,2020,7,4,0,1,2,0.5714285714285714,0.0,0.14285714285714285
33185,2021,6,4,0,1,1,0.6666666666666666,0.0,0.16666666666666666
33185,2022,7,4,0,2,1,0.5714285714285714,0.0,0.2857142857142857
33185,2023,9,4,0,3,2,0.4444444444444444,0.0,0.3333333333333333
33185,2024,14,5,0,7,2,0.35714285714285715,0.0,0.5
33185,2025,30,7,1,14,8,0.23333333333333334,0.03333333333333333,0.4666666666666667
34903,2025,2,0,0,1,1,0.0,0.0,0.5
35527,2023,1,0,0,1,0,0.0,0.0,1.0
35527,2024,5,0,0,5,0,0.0,0.0,1.0
35527,2025,3,1,0,2,0,0.3333333333333333,0.0,0.6666666666666666
36104,2025,1,1,0,0,0,1.0,0.0,0.0
36270,2024,1,0,0,1,0,0.0,0.0,1.0
36270,2025,1,0,0,1,0,0.0,0.0,1.0
37996,2022,4,2,0,0,2,0.5,0.0,0.0
37996,2023,7,0,0,1,6,0.0,0.0,0.14285714285714285
37996,2024,7,0,0,1,6,0.0,0.0,0.14285714285714285
37996,2025,9,0,0,4,5,0.0,0.0,0.4444444444444444
38777,2024,1,0,0,1,0,0.0,0.0,1.0
38777,2025,2,0,0,2,0,0.0,0.0,1.0
40533,2019,3,3,0,0,0,1.0,0.0,0.0
40533,2020,2,0,0,0,0,0.0,0.0,0.0
40533,2021,2,0,0,0,0,0.0,0.0,0.0
40533,2022,1,0,0,0,0,0.0,0.0,0.0
40533,2023,1,1,0,0,0,1.0,0.0,0.0
40533,2024,1,1,0,0,0,1.0,0.0,0.0
40533,2025,1,0,0,0,0,0.0,0.0,0.0
40545,2020,3,3,0,0,0,1.0,0.0,0.0
40545,2021,4,4,0,0,0,1.0,0.0,0.0
40545,2023,5,0,0,5,0,0.0,0.0,1.0
40545,2024,4,0,0,4,0,0.0,0.0,1.0
40545,2025,5,0,0,4,1,0.0,0.0,0.8
40704,2026,4,0,0,4,0,0.0,0.0,1.0
40987,2023,3,0,0,2,1,0.0,0.0,0.6666666666666666
40987,2024,4,0,0,3,0,0.0,0.0,0.75
40987,2025,4,0,0,4,0,0.0,0.0,1.0
45012,2020,1,1,0,0,0,1.0,0.0,0.0
45012,2021,1,1,0,0,0,1.0,0.0,0.0
45012,2022,1,1,0,0,0,1.0,0.0,0.0
45012,2023,1,1,0,0,0,1.0,0.0,0.0
45012,2024,3,1,0,1,0,0.3333333333333333,0.0,0.3333333333333333
45012,2025,8,2,0,4,0,0.25,0.0,0.5
46080,2023,4,0,0,4,0,0.0,0.0,1.0
46080,2024,14,0,2,10,1,0.0,0.14285714285714285,0.7142857142857143
46080,2025,14,0,3,10,1,0.0,0.21428571428571427,0.7142857142857143
47111,2023,2,0,0,0,0,0.0,0.0,0.0
47111,2024,2,0,0,0,0,0.0,0.0,0.0
47111,2025,3,0,0,1,0,0.0,0.0,0.3333333333333333
47217,2023,7,0,0,5,1,0.0,0.0,0.7142857142857143
47217,2024,7,1,1,5,0,0.14285714285714285,0.14285714285714285,0.7142857142857143
47217,2025,9,1,3,5,0,0.1111111111111111,0.3333333333333333,0.5555555555555556
48465,2025,4,0,0,4,0,0.0,0.0,1.0
48898,2023,2,0,0,2,0,0.0,0.0,1.0
48898,2024,3,0,0,3,0,0.0,0.0,1.0
48898,2025,8,0,0,8,0,0.0,0.0,1.0
49071,2024,1,0,0,1,0,0.0,0.0,1.0
49071,2025,1,0,0,1,0,0.0,0.0,1.0
49196,2024,1,0,0,1,0,0.0,0.0,1.0
49196,2025,2,0,0,0,1,0.0,0.0,0.0
49826,2024,4,0,0,3,1,0.0,0.0,0.75
49826,2025,4,0,0,3,1,0.0,0.0,0.75
50863,2018,5,2,1,1,0,0.4,0.2,0.2
50863,2019,8,5,0,2,0,0.625,0.0,0.25
50863,2020,8,5,0,3,0,0.625,0.0,0.375
50863,2021,9,4,0,3,0,0.4444444444444444,0.0,0.3333333333333333
50863,2022,6,2,0,4,0,0.3333333333333333,0.0,0.6666666666666666
50863,2023,3,0,0,3,0,0.0,0.0,1.0
50863,2024,3,0,0,1,0,0.0,0.0,0.3333333333333333
50863,2025,3,2,0,0,0,0.6666666666666666,0.0,0.0
51143,2018,6,5,0,1,0,0.8333333333333334,0.0,0.16666666666666666
51143,2019,12,4,0,8,0,0.3333333333333333,0.0,0.6666666666666666
51143,2020,12,1,0,11,0,0.08333333333333333,0.0,0.9166666666666666
51143,2021,14,3,0,11,0,0.21428571428571427,0.0,0.7857142857142857
51143,2022,14,1,0,11,0,0.07142857142857142,0.0,0.7857142857142857
51143,2023,1,1,0,0,0,1.0,0.0,0.0
51143,2024,1,1,0,0,0,1.0,0.0,0.0
51143,2025,1,1,0,0,0,1.0,0.0,0.0
51253,2023,2,0,0,2,0,0.0,0.0,1.0
51253,2025,2,0,0,2,0,0.0,0.0,1.0
51434,2023,10,0,0,9,1,0.0,0.0,0.9
51434,2024,5,0,0,5,0,0.0,0.0,1.0
51434,2025,4,0,0,3,0,0.0,0.0,0.75
52988,2019,6,6,0,0,0,1.0,0.0,0.0
52988,2020,3,3,0,0,0,1.0,0.0,0.0
52988,2021,2,1,0,0,0,0.5,0.0,0.0
52988,2022,6,6,0,0,0,1.0,0.0,0.0
52988,2023,9,6,0,3,0,0.6666666666666666,0.0,0.3333333333333333
52988,2024,12,6,0,6,0,0.5,0.0,0.5
52988,2025,8,3,0,5,0,0.375,0.0,0.625
55785,2024,2,0,0,2,0,0.0,0.0,1.0
55785,2025,2,0,0,2,0,0.0,0.0,1.0
56873,2024,6,0,0,6,0,0.0,0.0,1.0
56873,2025,9,0,0,9,0,0.0,0.0,1.0
59478,2023,5,0,0,5,0,0.0,0.0,1.0
59478,2024,6,0,0,6,0,0.0,0.0,1.0
59478,2025,5,0,0,5,0,0.0,0.0,1.0
60086,2023,1,0,0,1,0,0.0,0.0,1.0
60086,2024,5,0,0,3,2,0.0,0.0,0.6
60086,2025,5,0,0,3,1,0.0,0.0,0.6
60667,2023,4,0,0,4,0,0.0,0.0,1.0
60667,2024,7,2,0,3,0,0.2857142857142857,0.0,0.42857142857142855
60667,2025,7,2,0,3,0,0.2857142857142857,0.0,0.42857142857142855
62709,2018,1,0,0,1,0,0.0,0.0,1.0
62709,2019,2,0,0,2,0,0.0,0.0,1.0
62709,2020,2,0,0,2,0,0.0,0.0,1.0
62709,2021,2,0,0,2,0,0.0,0.0,1.0
62709,2022,3,0,0,3,0,0.0,0.0,1.0
62709,2023,6,0,0,4,2,0.0,0.0,0.6666666666666666
62709,2024,8,0,0,4,2,0.0,0.0,0.5
62709,2025,8,1,0,4,1,0.125,0.0,0.5
62996,2025,2,0,0,2,0,0.0,0.0,1.0
63754,2023,3,0,0,2,1,0.0,0.0,0.6666666666666666
63754,2024,3,0,0,3,0,0.0,0.0,1.0
63754,2025,5,0,0,4,1,0.0,0.0,0.8
63908,2023,2,0,0,2,0,0.0,0.0,1.0
63908,2024,2,0,0,2,0,0.0,0.0,1.0
63908,2025,2,0,0,2,0,0.0,0.0,1.0
64040,2018,3,2,0,0,0,0.6666666666666666,0.0,0.0
64040,2019,3,3,0,0,0,1.0,0.0,0.0
64040,2020,4,4,0,0,0,1.0,0.0,0.0
64040,2021,2,2,0,0,0,1.0,0.0,0.0
64040,2022,1,0,0,1,0,0.0,0.0,1.0
64040,2023,3,0,0,3,0,0.0,0.0,1.0
64040,2024,8,5,0,3,0,0.625,0.0,0.375
64040,2025,7,3,0,3,1,0.42857142857142855,0.0,0.42857142857142855
64803,2019,1,0,1,0,0,0.0,1.0,0.0
64803,2020,3,2,1,0,0,0.6666666666666666,0.3333333333333333,0.0
64803,2021,3,2,1,0,0,0.6666666666666666,0.3333333333333333,0.0
64803,2022,3,2,1,0,0,0.6666666666666666,0.3333333333333333,0.0
64803,2023,4,3,1,0,0,0.75,0.25,0.0
64803,2024,5,3,1,0,1,0.6,0.2,0.0
64803,2025,5,2,1,1,1,0.4,0.2,0.2
65984,2023,3,0,0,3,0,0.0,0.0,1.0
65984,2024,8,1,0,6,0,0.125,0.0,0.75
65984,2025,9,1,0,7,0,0.1111111111111111,0.0,0.7777777777777778
66740,2018,7,1,0,2,0,0.14285714285714285,0.0,0.2857142857142857
66740,2019,12,4,0,3,0,0.3333333333333333,0.0,0.25
66740,2020,9,4,0,2,0,0.4444444444444444,0.0,0.2222222222222222
66740,2021,4,3,0,1,0,0.75,0.0,0.25
66740,2022,1,0,0,1,0,0.0,0.0,1.0
66740,2023,1,0,0,1,0,0.0,0.0,1.0
66740,2024,4,0,0,4,0,0.0,0.0,1.0
66740,2025,5,0,0,5,0,0.0,0.0,1.0
68505,2018,1,1,0,0,0,1.0,0.0,0.0
68505,2019,5,0,0,1,3,0.0,0.0,0.2
68505,2020,4,3,0,0,1,0.75,0.0,0.0
68505,2021,4,3,0,0,1,0.75,0.0,0.0
68505,2022,2,2,0,0,0,1.0,0.0,0.0
68505,2023,3,2,0,0,1,0.6666666666666666,0.0,0.0
68505,2024,2,2,0,0,0,1.0,0.0,0.0
68505,2025,1,1,0,0,0,1.0,0.0,0.0
70858,2018,4,0,0,4,0,0.0,0.0,1.0
70858,2019,5,0,0,5,0,0.0,0.0,1.0
70858,2020,4,0,0,3,0,0.0,0.0,0.75
70858,2021,4,0,0,4,0,0.0,0.0,1.0
70858,2022,8,0,0,8,0,0.0,0.0,1.0
70858,2023,20,1,0,19,0,0.05,0.0,0.95
70858,2024,22,0,0,22,0,0.0,0.0,1.0
70858,2025,7,0,0,4,3,0.0,0.0,0.5714285714285714
72331,2025,2,0,0,2,0,0.0,0.0,1.0
72741,2024,2,0,0,0,2,0.0,0.0,0.0
72741,2025,4,0,0,2,2,0.0,0.0,0.5
72903,2022,3,0,2,0,0,0.0,0.6666666666666666,0.0
72903,2023,4,0,0,3,0,0.0,0.0,0.75
72903,2024,8,1,0,3,0,0.125,0.0,0.375
72903,2025,2,0,0,2,0,0.0,0.0,1.0
72971,2025,1,0,0,0,0,0.0,0.0,0.0
73124,2019,1,0,0,1,0,0.0,0.0,1.0
73124,2020,1,0,0,1,0,0.0,0.0,1.0
73124,2021,1,0,0,1,0,0.0,0.0,1.0
73124,2022,1,0,0,1,0,0.0,0.0,1.0
73124,2023,2,0,0,2,0,0.0,0.0,1.0
73124,2024,3,1,0,2,0,0.3333333333333333,0.0,0.6666666666666666
73124,2025,7,1,0,4,2,0.14285714285714285,0.0,0.5714285714285714
74208,2024,2,0,0,2,0,0.0,0.0,1.0
74208,2025,4,0,0,4,0,0.0,0.0,1.0
75362,2025,5,1,2,1,0,0.2,0.4,0.2
76334,2024,1,0,0,1,0,0.0,0.0,1.0
76334,2025,1,0,0,1,0,0.0,0.0,1.0
77360,2023,2,0,0,2,0,0.0,0.0,1.0
77360,2024,2,0,0,2,0,0.0,0.0,1.0
77360,2025,7,0,0,7,0,0.0,0.0,1.0
77476,2019,1,0,0,0,0,0.0,0.0,0.0
77476,2021,2,0,1,1,0,0.0,0.5,0.5
77476,2022,2,0,1,1,0,0.0,0.5,0.5
77476,2023,5,1,1,2,1,0.2,0.2,0.4
77476,2024,8,1,0,5,1,0.125,0.0,0.625
77476,2025,13,1,3,7,2,0.07692307692307693,0.23076923076923078,0.5384615384615384
78003,2023,2,0,0,2,0,0.0,0.0,1.0
78003,2024,1,0,0,0,0,0.0,0.0,0.0
78003,2025,2,0,0,2,0,0.0,0.0,1.0
79282,2024,1,0,0,0,1,0.0,0.0,0.0
79282,2025,1,0,0,1,0,0.0,0.0,1.0
79879,2024,1,0,0,1,0,0.0,0.0,1.0
79879,2025,3,0,0,3,0,0.0,0.0,1.0
80424,2024,5,0,0,4,1,0.0,0.0,0.8
80424,2025,6,0,0,6,0,0.0,0.0,1.0
80424,2026,2,0,0,2,0,0.0,0.0,1.0
80661,2021,3,0,0,1,2,0.0,0.0,0.3333333333333333
80661,2022,6,0,0,2,4,0.0,0.0,0.3333333333333333
80661,2023,5,0,0,3,2,0.0,0.0,0.6
80661,2024,5,0,0,3,2,0.0,0.0,0.6
80661,2025,7,0,0,3,4,0.0,0.0,0.42857142857142855
84839,2024,1,0,0,1,0,0.0,0.0,1.0
84839,2025,1,0,0,1,0,0.0,0.0,1.0
86312,2019,1,0,0,1,0,0.0,0.0,1.0
86312,2020,1,0,0,1,0,0.0,0.0,1.0
86312,2021,2,1,0,1,0,0.5,0.0,0.5
86312,2022,4,1,0,1,2,0.25,0.0,0.25
86312,2023,17,1,1,11,4,0.058823529411764705,0.058823529411764705,0.6470588235294118
86312,2024,21,0,1,13,6,0.0,0.047619047619047616,0.6190476190476191
86312,2025,31,0,1,24,5,0.0,0.03225806451612903,0.7741935483870968
87347,2020,1,0,0,1,0,0.0,0.0,1.0
87347,2021,3,1,0,1,0,0.3333333333333333,0.0,0.3333333333333333
87347,2022,6,2,1,1,0,0.3333333333333333,0.16666666666666666,0.16666666666666666
87347,2023,6,1,0,2,0,0.16666666666666666,0.0,0.3333333333333333
87347,2024,4,0,0,1,0,0.0,0.0,0.25
87347,2025,5,4,0,1,0,0.8,0.0,0.2
89800,2024,2,0,0,2,0,0.0,0.0,1.0
89800,2025,1,0,0,1,0,0.0,0.0,1.0
91142,2023,2,0,0,2,0,0.0,0.0,1.0
91142,2024,2,0,0,2,0,0.0,0.0,1.0
91142,2025,2,0,0,2,0,0.0,0.0,1.0
91419,2023,3,0,0,3,0,0.0,0.0,1.0
